数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,中证1000成分股,中证2000成分股,创业板指成分股,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,09:35收盘价,09:45收盘价,09:55收盘价
sh688256,N寒武纪,2020-07-20,250.0,295.0,205.6,212.4,64.39,24237613.0,5645861832.0,6606656334.000001,84981240000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,187673.31,279123.63,178785.63,134649.1,189.72,2639.41,197936.52,148173.03,,,,,,,电子,半导体,集成电路,252.0,236.0,229.0
sh688256,寒武纪,2020-07-21,208.0,285.6,202.0,274.0,212.4,17584895.0,4292970831.0,8522711090.000002,109627400000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,128258.6,163046.98,160096.99,138933.6,217.0,2874.91,134433.37,118150.47,,,,,,,电子,半导体,集成电路,208.05,221.15,234.04
sh688256,寒武纪,2020-07-22,260.0,284.33,257.77,281.0,274.0,12701827.0,3450335246.0,8740444585.0,112428100000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,114405.74,106487.97,133549.22,131804.13,210.6,1621.24,96867.47,105119.7,,,,,,,电子,半导体,集成电路,267.0,265.0,266.0
sh688256,寒武纪,2020-07-23,274.92,297.77,268.0,281.5,281.0,9920207.0,2791441976.0,8755996977.5,112628150000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,100912.25,86254.11,111708.55,106581.61,162.88,1131.45,66360.09,85176.61,,,,,,,电子,半导体,集成电路,283.0,294.0,281.88
sh688256,寒武纪,2020-07-24,273.0,276.0,240.44,259.33,281.5,11385255.0,2940728530.0,8066403894.05,103757933000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,121765.16,83233.03,109728.5,116246.13,198.23,1216.72,62380.47,93376.47,,,,,,,电子,半导体,集成电路,270.0,264.3,266.0
sh688256,寒武纪,2020-07-27,252.28,257.9,227.94,234.01,259.33,8338869.0,2022044467.0,7278830737.85,93627401000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,83593.07,63500.58,69896.63,84821.73,166.52,708.98,48547.81,53172.73,,,,,,,电子,半导体,集成电路,255.9,252.6,255.41
sh688256,寒武纪,2020-07-28,236.0,243.8,227.5,238.64,234.01,5977562.0,1410915512.0,7422845892.4,95479864000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,56003.61,51726.9,56028.78,59910.59,170.05,624.36,28888.81,28829.4,,,,,,,电子,半导体,集成电路,239.5,242.05,238.7
sh688256,寒武纪,2020-07-29,234.53,245.78,229.66,241.5,238.64,5473260.0,1312286233.0,7511805577.5,96624150000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,51500.66,49141.08,54791.56,55849.4,142.69,608.15,24793.41,25629.7,,,,,,,电子,半导体,集成电路,234.0,233.2,236.42
sh688256,寒武纪,2020-07-30,240.0,254.99,236.36,243.17,241.5,6180875.0,1516837929.0,7563750568.45,97292317000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,66060.08,63123.61,56997.02,64839.16,146.07,763.44,28480.26,22957.22,,,,,,,电子,半导体,集成电路,244.28,241.0,236.5
sh688256,寒武纪,2020-07-31,238.01,255.55,237.1,249.6,243.17,5629413.0,1392176361.0,7763754336.0,99864960000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,56942.72,57148.91,54864.02,60736.22,140.33,631.72,27270.24,20700.46,,,,,,,电子,半导体,集成电路,241.67,240.44,245.0
sh688256,寒武纪,2020-08-03,250.01,257.88,247.01,249.5,249.6,6972166.0,1760964726.0,7760643857.5,99824950000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,69997.8,52069.51,66813.05,68120.14,109.92,579.81,39175.34,55326.64,,,,,,,电子,半导体,集成电路,251.3,256.0,252.5
sh688256,寒武纪,2020-08-04,250.97,252.88,232.99,235.0,249.5,5908943.0,1424160483.0,7309624475.0,94023500000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,71865.04,43289.42,54170.96,64817.0,139.47,503.45,16240.25,33805.84,,,,,,,电子,半导体,集成电路,252.17,247.8,244.5
sh688256,寒武纪,2020-08-05,246.0,246.0,236.79,236.92,235.0,4082217.0,985070039.0,7369345662.200002,94791692000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,42764.39,34795.52,40536.02,38832.86,107.43,384.22,13748.91,23144.16,,,,,,,电子,半导体,集成电路,241.0,242.3,238.85
sh688256,寒武纪,2020-08-06,233.96,247.45,231.8,243.83,236.92,5013107.0,1211258410.0,7584279726.55,97556383000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,47518.57,57009.53,52707.8,46202.58,68.63,642.31,18765.37,15205.96,,,,,,,电子,半导体,集成电路,233.92,232.1,233.4
sh688256,寒武纪,2020-08-07,240.98,240.98,223.37,227.44,243.83,4853751.0,1119390462.0,7074472300.400002,90998744000.0,,,4249598000.0,4493545600.0,243947600.0,-108357600.0,62999.68,38860.97,38640.03,44127.82,119.2,487.21,10179.85,28462.76,,,,,,,电子,半导体,集成电路,237.1,234.0,233.08
