candle_end_time,open,high,low,close,amount,volume,index_code
2007-01-04,1738.929,1748.091,1719.498,1723.686,18743743273.0,32129868.0,sh000905
2007-01-05,1719.283,1770.483,1712.737,1770.475,17027050330.0,29545474.0,sh000905
2007-01-08,1773.023,1851.964,1773.023,1851.964,23144319524.0,39719320.0,sh000905
2007-01-09,1855.347,1893.723,1853.901,1891.871,24953532868.0,42845909.0,sh000905
2007-01-10,1896.711,1940.832,1884.619,1940.832,26373105774.0,45406337.0,sh000905
2007-01-11,1946.501,2005.061,1935.396,1952.236,31508766345.0,53883465.0,sh000905
2007-01-12,1941.345,1972.865,1879.59,1881.753,25821603780.0,44080094.0,sh000905
2007-01-15,1881.47,1986.54,1881.47,1986.54,23710425000.0,38812630.0,sh000905
2007-01-16,2002.57,2055.02,1990.87,2055.02,30689048000.0,48074418.0,sh000905
2007-01-17,2064.29,2093.89,1992.54,2035.65,38375191000.0,58832887.0,sh000905
2007-01-18,2025.85,2085.4,2002.66,2085.4,32075970000.0,50949460.0,sh000905
2007-01-19,2097.51,2159.65,2097.51,2159.64,36951910000.0,57925168.0,sh000905
2007-01-22,2183.44,2259.03,2183.44,2258.99,40928365000.0,63589201.0,sh000905
2007-01-23,2267.45,2268.69,2175.6,2261.79,39600092000.0,61080176.0,sh000905
2007-01-24,2260.71,2295.26,2236.58,2283.7,33928713000.0,51041222.0,sh000905
2007-01-25,2271.52,2271.52,2172.98,2174.24,32172915000.0,48175660.0,sh000905
2007-01-26,2143.99,2196.28,2061.66,2186.27,28778328000.0,44759405.0,sh000905
2007-01-29,2201.59,2261.24,2201.59,2260.6,30788164000.0,45646662.0,sh000905
2007-01-30,2271.47,2280.73,2230.65,2255.94,33163100000.0,50247687.0,sh000905
2007-01-31,2251.32,2258.7,2129.79,2142.89,32828621000.0,49046924.0,sh000905
2007-02-01,2120.01,2176.2,2080.16,2165.41,27578619000.0,42338845.0,sh000905
2007-02-02,2170.03,2190.96,2124.3,2127.1,25752753000.0,38610610.0,sh000905
2007-02-05,2122.37,2166.09,2118.87,2152.25,20119479000.0,30134110.0,sh000905
2007-02-06,2158.5,2198.63,2148.1,2198.24,20714662000.0,30876185.0,sh000905
2007-02-07,2209.65,2237.94,2208.38,2237.94,26101531000.0,38327050.0,sh000905
2007-02-08,2245.08,2282.19,2233.52,2278.45,26710676000.0,39053897.0,sh000905
2007-02-09,2282.63,2300.81,2263.61,2287.38,24939688000.0,37161822.0,sh000905
2007-02-12,2291.66,2341.07,2291.66,2341.07,25013026000.0,36188353.0,sh000905
2007-02-13,2351.65,2384.16,2338.57,2384.16,26801027000.0,38163783.0,sh000905
2007-02-14,2386.84,2445.77,2380.74,2435.96,31223510000.0,44065582.0,sh000905
2007-02-15,2451.44,2512.55,2451.32,2512.4,37101618000.0,51516459.0,sh000905
2007-02-16,2528.84,2581.56,2519.23,2541.41,39956571000.0,54056751.0,sh000905
