candle_end_time,open,high,low,close,amount,volume,index_code
2019-12-31,1000.0,1000.0,1000.0,1000.0,6818057448.0,1516205.33,sh000680
2020-01-02,1007.0607,1036.8329,1007.0607,1036.8329,9315104841.0,2193852.76,sh000680
2020-01-03,1040.9069,1051.4562,1036.7403,1043.7998,9677367301.0,2160583.48,sh000680
2020-01-06,1037.6917,1060.5039,1037.4137,1044.122,11978945124.0,2663011.81,sh000680
2020-01-07,1043.8101,1048.8326,1027.5929,1048.8326,11953768305.0,2675921.67,sh000680
2020-01-08,1042.1603,1075.812,1041.221,1068.3813,13506584528.0,3207626.5,sh000680
2020-01-09,1078.6216,1094.4838,1078.6216,1091.9432,12913099511.0,2843420.95,sh000680
2020-01-10,1096.1042,1101.3412,1085.1274,1085.1274,10766677457.0,2515474.87,sh000680
2020-01-13,1084.6692,1132.5237,1080.0223,1132.5237,11640010897.0,2466259.19,sh000680
2020-01-14,1132.6208,1172.0848,1130.5506,1150.0863,15303201742.0,3262463.82,sh000680
2020-01-15,1144.0213,1155.5702,1133.353,1149.369,11554276317.0,2420464.21,sh000680
2020-01-16,1150.2734,1207.6484,1150.2734,1204.4889,16115816599.0,3085287.99,sh000680
2020-01-17,1208.067,1331.1518,1208.067,1316.2875,26076157662.0,5873596.71,sh000680
2020-01-20,1311.2618,1337.9056,1264.1896,1300.9859,25890091114.0,5202591.97,sh000680
2020-01-21,1289.2111,1311.2179,1255.291,1255.291,20822897677.0,4206788.73,sh000680
2020-01-22,1232.5104,1329.5797,1208.7008,1329.5797,23124808292.0,4794740.04,sh000680
2020-01-23,1297.7468,1363.9249,1254.6589,1291.4997,23901230623.0,4425934.37,sh000680
2020-02-03,1076.6119,1139.112,1060.2617,1060.2617,22392218949.0,5466543.16,sh000680
2020-02-04,1091.4546,1192.1909,1091.4546,1192.1909,25214022851.0,5286206.05,sh000680
2020-02-05,1210.09,1287.417,1210.09,1235.3931,31235308672.0,5860213.39,sh000680
2020-02-06,1217.8785,1278.8987,1217.8785,1265.3725,28886970285.0,5589981.66,sh000680
2020-02-07,1261.2721,1349.2952,1255.3229,1349.1402,32385770513.0,5664784.58,sh000680
2020-02-10,1360.2304,1403.2649,1358.2586,1391.5141,30052305965.0,5932906.94,sh000680
2020-02-11,1382.8688,1396.2779,1343.3559,1364.703,26632123773.0,5037530.86,sh000680
2020-02-12,1354.9289,1435.3786,1354.9289,1416.0891,27605196207.0,4763905.79,sh000680
2020-02-13,1418.1417,1498.1619,1418.1417,1429.6678,35045997410.0,6144055.01,sh000680
2020-02-14,1425.2607,1447.2966,1353.7767,1379.8353,30495954578.0,5310166.42,sh000680
2020-02-17,1385.1716,1432.3582,1385.1716,1432.3582,27951676560.0,4969888.92,sh000680
2020-02-18,1432.084,1467.0407,1429.8105,1452.8932,31443906973.0,4905608.71,sh000680
2020-02-19,1451.621,1467.4409,1425.9253,1430.3436,29390754314.0,4783190.39,sh000680
2020-02-20,1432.9188,1443.7919,1366.8139,1394.6493,25495526119.0,4222266.19,sh000680
2020-02-21,1380.7123,1418.5165,1380.7123,1385.7586,32799336628.0,4475454.98,sh000680
2020-02-24,1378.3155,1402.8276,1366.0604,1392.3865,27239430462.0,4199988.2,sh000680
2020-02-25,1349.5499,1415.6672,1349.5499,1412.8644,29202484341.0,4611598.76,sh000680
2020-02-26,1388.8731,1407.4427,1325.6766,1329.0961,28837575808.0,5015814.02,sh000680
2020-02-27,1332.6956,1332.6956,1277.4116,1290.9026,28442351821.0,5032823.38,sh000680
2020-02-28,1226.395,1254.1202,1209.4409,1214.4443,27546301318.0,5132083.97,sh000680
2020-03-02,1230.1329,1283.5832,1221.2865,1276.8002,24240042956.0,4979736.01,sh000680
2020-03-03,1302.4297,1362.1194,1297.9431,1312.3177,27537029808.0,5122939.27,sh000680
2020-03-04,1292.7603,1304.0049,1246.9711,1277.7908,21539763079.0,3819524.08,sh000680
2020-03-05,1301.399,1304.161,1273.8034,1292.5301,20746222681.0,4312615.62,sh000680
2020-03-06,1273.2337,1276.8174,1260.1034,1263.5634,16884830366.0,3261213.4,sh000680
2020-03-09,1233.206,1245.4991,1187.3904,1187.3904,18877583868.0,3872702.67,sh000680
2020-03-10,1162.7771,1238.5706,1149.651,1238.5706,20635332923.0,4064920.4,sh000680
2020-03-11,1241.468,1255.3665,1205.0895,1205.0895,18151329837.0,4248509.27,sh000680
2020-03-12,1180.9751,1200.4302,1175.081,1191.2065,13230717967.0,2805383.69,sh000680
