candle_end_time,open,high,low,close,amount,volume,index_code
2005-06-07,797.5923,797.5923,797.5923,797.5923,3071585210.72,4731890.27,sz399330
2005-06-08,865.1636,865.1636,865.1636,865.1636,5904276773.56,9607358.09,sz399330
2005-06-09,869.8938,869.8938,869.8938,869.8938,6088110302.36,9701735.9,sz399330
2005-06-10,848.2449,848.2449,848.2449,848.2449,3899210901.04,6501681.3,sz399330
2005-06-13,846.4764,846.4764,846.4764,846.4764,2680673197.99,4844245.32,sz399330
2005-06-14,835.7221,835.7221,835.7221,835.7221,2503582271.53,4254449.09,sz399330
2005-06-15,814.8027,814.8027,814.8027,814.8027,2063340366.1,3520390.61,sz399330
2005-06-16,823.968,823.968,823.968,823.968,1846236791.74,2998581.92,sz399330
2005-06-17,821.3577,821.3577,821.3577,821.3577,2556975543.76,4137327.69,sz399330
2005-06-20,850.1332,850.1332,850.1332,850.1332,4132788889.9,6181965.0,sz399330
2005-06-21,839.6097,839.6097,839.6097,839.6097,2714061559.83,4282901.52,sz399330
2005-06-22,844.3716,844.3716,844.3716,844.3716,2201333996.6,3389479.47,sz399330
2005-06-23,836.5997,836.5997,836.5997,836.5997,2361000553.82,3497770.53,sz399330
2005-06-24,840.0622,840.0622,840.0622,840.0622,1654001561.18,2592967.71,sz399330
2005-06-27,858.7982,858.7982,858.7982,858.7982,3452961834.46,5516638.93,sz399330
2005-06-28,844.4751,844.4751,844.4751,844.4751,2045494130.12,3250897.44,sz399330
2005-06-29,836.5946,836.5946,836.5946,836.5946,1758957866.62,2851414.27,sz399330
2005-06-30,811.9249,811.9249,811.9249,811.9249,2050556808.88,3375249.69,sz399330
2005-07-01,793.3073,793.3073,793.3073,793.3073,1783022357.63,3282607.01,sz399330
2005-07-04,792.2744,792.2744,792.2744,792.2744,1435074067.8,2880814.18,sz399330
2005-07-05,785.5235,785.5235,785.5235,785.5235,1259192753.12,2074852.63,sz399330
2005-07-06,779.5103,779.5103,779.5103,779.5103,1139148112.39,1978324.87,sz399330
2005-07-07,781.94,781.94,781.94,781.94,967924067.18,1707252.48,sz399330
2005-07-08,766.2798,766.2798,766.2798,766.2798,1172634808.02,2274264.78,sz399330
2005-07-11,761.5938,761.5938,761.5938,761.5938,1393773479.05,2489907.53,sz399330
2005-07-12,786.0286,786.0286,786.0286,786.0286,2259277327.87,3988801.93,sz399330
2005-07-13,781.5866,781.5866,781.5866,781.5866,1551469670.44,2767118.52,sz399330
2005-07-14,783.8957,783.8957,783.8957,783.8957,1460117148.77,2546111.49,sz399330
2005-07-15,774.8674,774.8674,774.8674,774.8674,1387940818.64,2584154.22,sz399330
2005-07-18,765.7411,765.7411,765.7411,765.7411,1372671438.1,2804696.65,sz399330
2005-07-19,768.8031,768.8031,768.8031,768.8031,1202092845.49,2343338.02,sz399330
2005-07-20,776.5554,776.5554,776.5554,776.5554,1284771482.12,2529608.32,sz399330
2005-07-21,776.595,776.595,776.595,776.595,1319232522.12,2528894.86,sz399330
2005-07-22,791.219,791.219,791.219,791.219,3096320174.82,5976381.98,sz399330
2005-07-25,787.5163,787.5163,787.5163,787.5163,2160240213.14,4021001.19,sz399330
2005-07-26,806.7856,806.7856,806.7856,806.7856,3507977039.05,6170875.15,sz399330
2005-07-27,825.7616,825.7616,825.7616,825.7616,3390907201.12,6333861.88,sz399330
2005-07-28,823.6223,823.6223,823.6223,823.6223,3769389934.32,6752757.89,sz399330
2005-07-29,821.0117,821.0117,821.0117,821.0117,2390409695.59,4495389.15,sz399330
2005-08-01,822.9388,822.9388,822.9388,822.9388,1881731188.09,3694159.66,sz399330
2005-08-02,837.3578,837.3578,837.3578,837.3578,2397703601.84,4892395.74,sz399330
2005-08-03,846.0819,846.0819,846.0819,846.0819,4496436298.13,8669572.76,sz399330
2005-08-04,839.0873,839.0873,839.0873,839.0873,2400595453.78,4509547.48,sz399330
