candle_end_time,open,high,low,close,amount,volume,index_code
2007-01-04,2073.25,2139.494,2054.242,2067.092,82381072591.0,106719707.0,sh000300
2007-01-05,2051.152,2083.402,2030.762,2072.883,68026060235.0,92743447.0,sh000300
2007-01-08,2072.005,2131.737,2071.721,2131.556,66303936118.0,84767909.0,sh000300
2007-01-09,2137.485,2201.36,2128.064,2200.086,65456192715.0,81577629.0,sh000300
2007-01-10,2210.757,2255.966,2194.77,2255.966,68822624817.0,84904979.0,sh000300
2007-01-11,2257.01,2289.95,2224.366,2231.629,68730011815.0,86276548.0,sh000300
2007-01-12,2215.859,2249.543,2159.775,2173.747,61742830353.0,76525720.0,sh000300
2007-01-15,2170.943,2287.684,2170.943,2287.342,57043453710.0,66403097.0,sh000300
2007-01-16,2310.963,2354.431,2297.238,2353.874,67843434156.0,76364254.0,sh000300
2007-01-17,2360.41,2393.218,2266.344,2308.931,80008901771.0,89015540.0,sh000300
2007-01-18,2292.173,2325.528,2240.214,2317.095,69894972894.0,78648606.0,sh000300
2007-01-19,2320.873,2396.093,2320.873,2396.093,73538873546.0,83334022.0,sh000300
2007-01-22,2424.815,2491.711,2424.815,2491.313,81870488111.0,93892993.0,sh000300
2007-01-23,2508.265,2516.593,2415.111,2508.13,92812872354.0,102337616.0,sh000300
2007-01-24,2508.523,2556.099,2489.932,2536.428,80277493989.0,84433697.0,sh000300
2007-01-25,2512.459,2529.432,2449.051,2452.831,77241720261.0,81055151.0,sh000300
2007-01-26,2415.746,2524.243,2356.982,2512.922,73275675715.0,78654008.0,sh000300
2007-01-29,2529.943,2582.405,2521.503,2576.917,79544859355.0,85452085.0,sh000300
2007-01-30,2586.523,2599.452,2531.776,2551.884,73485012977.0,78211528.0,sh000300
2007-01-31,2544.3,2548.175,2367.67,2385.335,71945032667.0,80909137.0,sh000300
2007-02-01,2350.596,2410.422,2310.569,2395.172,57578101142.0,65078095.0,sh000300
2007-02-02,2397.058,2403.619,2293.277,2298.003,53535112102.0,59377154.0,sh000300
2007-02-05,2282.77,2304.318,2247.929,2271.797,42358010146.0,47587506.0,sh000300
2007-02-06,2271.372,2316.702,2198.901,2316.04,61206502550.0,67010648.0,sh000300
2007-02-07,2330.428,2390.867,2330.428,2369.787,66203343445.0,70106390.0,sh000300
2007-02-08,2376.629,2415.959,2354.697,2410.601,58367504085.0,62656540.0,sh000300
2007-02-09,2412.644,2417.643,2376.022,2397.245,51302933998.0,55515532.0,sh000300
2007-02-12,2397.849,2485.759,2396.786,2485.392,51709436972.0,54992320.0,sh000300
2007-02-13,2498.345,2526.227,2489.66,2522.63,48227864862.0,51528862.0,sh000300
2007-02-14,2527.56,2594.661,2520.533,2588.349,58462267865.0,62777279.0,sh000300
2007-02-15,2607.626,2669.183,2607.626,2668.633,67415688269.0,71631329.0,sh000300
2007-02-16,2692.67,2717.57,2660.486,2676.735,71597577014.0,75908785.0,sh000300
2007-02-26,2679.265,2710.301,2641.12,2707.676,70981612303.0,74531560.0,sh000300
2007-02-27,2717.812,2719.519,2454.918,2457.492,101102755625.0,107736807.0,sh000300
2007-02-28,2413.422,2554.226,2413.327,2544.571,77148246135.0,82822571.0,sh000300
2007-03-01,2550.26,2550.328,2439.503,2473.544,74299578237.0,82159655.0,sh000300
2007-03-02,2468.672,2523.856,2455.819,2508.729,54222099462.0,57946805.0,sh000300
2007-03-05,2503.816,2541.818,2409.715,2475.606,63071754494.0,68517488.0,sh000300
2007-03-06,2467.741,2539.453,2452.142,2520.293,50261314068.0,52633153.0,sh000300
2007-03-07,2532.975,2594.458,2532.148,2589.436,57623239829.0,59720949.0,sh000300
2007-03-08,2597.715,2628.448,2565.109,2627.63,53907621543.0,55386559.0,sh000300
2007-03-09,2632.8,2643.809,2587.488,2611.393,67933045137.0,70411326.0,sh000300
2007-03-12,2612.957,2619.498,2563.367,2616.172,60438197476.0,62468921.0,sh000300
2007-03-13,2620.715,2641.626,2605.234,2640.169,62061191754.0,65788908.0,sh000300
2007-03-14,2609.927,2625.123,2546.646,2597.357,66581939459.0,68952088.0,sh000300
2007-03-15,2595.543,2645.877,2595.543,2645.546,63266778524.0,63778489.0,sh000300
2007-03-16,2656.009,2665.39,2576.316,2604.226,74777024467.0,75331850.0,sh000300
2007-03-19,2533.711,2674.798,2523.302,2659.413,72943661095.0,73983566.0,sh000300
2007-03-20,2669.635,2674.47,2645.25,2672.771,61741482419.0,61249726.0,sh000300
2007-03-21,2685.925,2702.998,2666.891,2702.597,68369315608.0,64612957.0,sh000300
2007-03-22,2720.459,2740.28,2702.414,2711.322,86036277732.0,83308074.0,sh000300
2007-03-23,2710.362,2726.62,2653.794,2716.266,76304490420.0,73911919.0,sh000300
2007-03-26,2725.397,2764.398,2713.926,2764.034,77796101199.0,76074773.0,sh000300
2007-03-27,2770.348,2789.967,2753.017,2784.023,84018394699.0,80725127.0,sh000300
2007-03-28,2787.239,2806.077,2689.114,2797.649,112146081864.0,112209970.0,sh000300
2007-03-29,2802.377,2830.082,2782.93,2783.305,113233436267.0,106567239.0,sh000300
2007-03-30,2768.71,2801.945,2753.147,2781.784,66536969255.0,62950706.0,sh000300
2007-04-02,2793.957,2850.152,2793.957,2850.107,76680507856.0,69247883.0,sh000300
2007-04-03,2861.898,2888.329,2852.571,2888.115,87091853081.0,77014495.0,sh000300
2007-04-04,2893.377,2924.676,2875.685,2911.821,88456071223.0,75506658.0,sh000300
2007-04-05,2909.5,2950.659,2895.416,2945.045,85195598382.0,74138991.0,sh000300
2007-04-06,2921.727,2977.459,2911.052,2972.008,93049572083.0,79102328.0,sh000300
2007-04-09,2988.377,3043.06,2988.377,3038.172,106218793512.0,90901705.0,sh000300
2007-04-10,3053.355,3081.617,2993.114,3081.568,119702215987.0,100888342.0,sh000300
2007-04-11,3092.085,3121.537,3059.283,3121.319,124218923127.0,101669935.0,sh000300
2007-04-12,3129.247,3176.69,3114.911,3176.437,118434112266.0,92535186.0,sh000300
2007-04-13,3182.777,3211.607,3154.106,3169.233,129728360741.0,100653116.0,sh000300
2007-04-16,3177.303,3256.566,3177.291,3255.998,112706594206.0,87928940.0,sh000300
2007-04-17,3273.43,3288.166,3182.951,3283.604,133823425844.0,105307105.0,sh000300
2007-04-18,3294.213,3311.981,3244.934,3304.501,129242252479.0,101426707.0,sh000300
2007-04-19,3297.946,3297.946,3065.282,3150.303,143830321586.0,115270009.0,sh000300
2007-04-20,3165.674,3297.41,3165.674,3289.282,118620474966.0,94469869.0,sh000300
2007-04-23,3330.798,3433.519,3330.798,3431.318,137583437710.0,109958991.0,sh000300
2007-04-24,3462.48,3490.814,3418.301,3445.196,149412298461.0,114643006.0,sh000300
2007-04-25,3432.024,3467.828,3376.084,3448.281,129089171524.0,100580669.0,sh000300
2007-04-26,3465.112,3493.909,3438.879,3493.581,107807045971.0,78997690.0,sh000300
2007-04-27,3499.941,3503.885,3436.002,3470.523,113722809802.0,80698636.0,sh000300
2007-04-30,3487.358,3568.684,3478.928,3558.709,138081371497.0,94302864.0,sh000300
2007-05-08,3643.813,3699.367,3618.782,3686.03,153677419723.0,106788732.0,sh000300
2007-05-09,3699.296,3717.34,3556.615,3701.277,189060473164.0,140648358.0,sh000300
2007-05-10,3703.525,3742.231,3671.813,3724.51,153159215466.0,115419922.0,sh000300
2007-05-11,3696.294,3715.366,3629.713,3702.612,133773914663.0,88961761.0,sh000300
2007-05-14,3648.269,3769.159,3620.861,3734.42,137156727352.0,91098049.0,sh000300
2007-05-15,3739.049,3751.642,3600.207,3604.636,138220188526.0,93578568.0,sh000300
2007-05-16,3597.997,3700.646,3557.198,3700.287,126693808241.0,86229268.0,sh000300
2007-05-17,3716.438,3794.16,3705.275,3778.605,135459100312.0,90256478.0,sh000300
2007-05-18,3771.271,3805.208,3746.242,3776.629,120741772539.0,82418898.0,sh000300
2007-05-21,3650.803,3843.837,3643.076,3831.443,145129793994.0,98478650.0,sh000300
2007-05-22,3849.043,3893.192,3849.043,3870.489,161323370263.0,109618184.0,sh000300
2007-05-23,3879.759,3939.492,3853.908,3938.945,147494467235.0,98523171.0,sh000300
2007-05-24,3953.887,3972.584,3858.513,3919.748,172374226755.0,113814264.0,sh000300
2007-05-25,3907.73,3996.853,3888.308,3985.252,150809050028.0,95416615.0,sh000300
2007-05-28,4033.921,4091.935,4027.363,4072.578,183212932635.0,114041851.0,sh000300
2007-05-29,4090.903,4168.529000000001,4079.868,4168.289,179476688188.0,113267227.0,sh000300
2007-05-30,3906.041,4104.2,3849.701,3886.459,210318902841.0,132739140.0,sh000300
2007-05-31,3828.916,3991.73,3683.562,3927.952,193671975961.0,126078248.0,sh000300
2007-06-01,3953.1,4014.153,3780.029,3803.954,193980269332.0,119937939.0,sh000300
2007-06-04,3804.958,3822.409,3503.939,3511.431,131296201550.0,90531019.0,sh000300
2007-06-05,3406.999,3635.153,3246.733,3634.633,150764921394.0,113768038.0,sh000300
2007-06-06,3652.893,3712.528,3550.737,3677.58,135938464230.0,95951510.0,sh000300
2007-06-07,3694.55,3802.304,3684.459,3802.304,137228579079.0,94190581.0,sh000300
2007-06-08,3814.185,3861.206,3769.151,3837.867,136650655463.0,89074742.0,sh000300
2007-06-11,3876.067,3937.793,3870.234,3931.862,140519100272.0,90982277.0,sh000300
2007-06-12,3953.959,4036.355,3834.018,4036.109,158102391031.0,99389774.0,sh000300
2007-06-13,4071.735,4146.522,4064.146,4118.268,165908854362.0,109452945.0,sh000300
2007-06-14,4103.523,4132.004,4022.78,4075.821,133792269965.0,86609180.0,sh000300
2007-06-15,4043.111,4115.725,4025.1,4099.381,109234266882.0,68779600.0,sh000300
2007-06-18,4178.762,4246.4,4177.19,4227.569,141848326711.0,87872913.0,sh000300
2007-06-19,4227.592,4254.715,4186.176,4253.0,130523272510.0,81540471.0,sh000300
2007-06-20,4268.655,4292.198,4138.331,4157.599,141060757569.0,86863015.0,sh000300
2007-06-21,4140.693,4208.872,4110.959,4197.28,121783095857.0,73739471.0,sh000300
2007-06-22,4203.134,4220.923,3970.346,4051.426,127747673843.0,79552374.0,sh000300
2007-06-25,4066.453,4105.986,3850.84,3877.59,113432698719.0,70031044.0,sh000300
2007-06-26,3804.413,3929.371,3752.926,3928.213,87867741985.0,58885114.0,sh000300
2007-06-27,3946.876,4053.413,3912.199,4040.484,102131620083.0,65290520.0,sh000300
