candle_end_time,open,high,low,close,amount,volume,index_code
2005-06-08,998.6568,1097.2342,998.6568,1095.3249,1054902171.59,1321021.3,sz399101
2005-06-09,1095.3185,1158.5965,1083.5904,1132.5514,1422780953.26,1723846.41,sz399101
2005-06-10,1133.3678,1133.3678,1095.1781,1102.6601,917926167.26,1107409.34,sz399101
2005-06-13,1104.235,1116.5708,1084.6071,1105.7143,612262085.82,757195.06,sz399101
2005-06-14,1107.5225,1119.7641,1076.5759,1076.6168,561712504.2,683276.75,sz399101
2005-06-15,1073.237,1093.5244,1057.1919,1076.204,476253410.32,605185.75,sz399101
2005-06-16,1077.6862,1130.874,1076.502,1129.9307,812656297.16,1016724.67,sz399101
2005-06-17,1140.1327,1144.3901,1116.9483,1122.0213,752132759.81,894464.81,sz399101
2005-06-20,1129.7807,1186.9202,1119.6864,1186.9202,1195364639.45,1474755.79,sz399101
2005-06-21,1186.5635,1211.1744,1172.9918,1194.1972,1346874048.93,1612359.18,sz399101
2005-06-22,1184.0198,1211.2781,1174.1709,1197.7912,1028096448.53,1235477.26,sz399101
2005-06-23,1193.2958,1210.1571,1168.0081,1171.3675,971269900.06,1179241.43,sz399101
2005-06-24,1168.1173,1187.5161,1166.8258,1185.6684,568664219.93,678837.49,sz399101
2005-06-27,1189.5123,1262.937,1189.5123,1243.0074,1443952473.21,1628419.31,sz399101
2005-06-28,1238.9906,1247.7231,1217.6848,1223.0201,918054892.07,1150611.07,sz399101
2005-06-29,1235.444,1253.4506,1211.5452,1211.9734,954182570.3,1046350.54,sz399101
2005-06-30,1214.1213,1218.4062,1174.767,1175.0451,765014680.51,903905.86,sz399101
2005-07-01,1175.2063,1185.2496,1141.4452,1144.2737,608717399.73,741272.82,sz399101
2005-07-04,1133.3847,1165.3465,1125.8119,1165.3465,501666830.37,619246.09,sz399101
2005-07-05,1168.6051,1195.7619,1154.9187,1163.3432,692357911.01,722236.62,sz399101
2005-07-06,1162.6566,1179.1141,1124.8307,1133.2257,522456642.03,570324.66,sz399101
2005-07-07,1126.3554,1150.2076,1126.3554,1143.0211,376248952.25,424488.87,sz399101
2005-07-08,1141.4964,1141.4964,1107.3759,1111.7724,381394785.27,465375.34,sz399101
2005-07-11,1134.4796,1159.2605,1113.3522,1114.9537,475617448.84,559481.66,sz399101
2005-07-12,1111.0068,1181.3469,1106.7526,1173.8897,788041469.1,926362.32,sz399101
2005-07-13,1170.9786,1177.7558,1154.6699,1159.1008,638614036.78,753000.4,sz399101
2005-07-14,1158.8884,1177.2888,1155.0208,1168.1882,462146454.1,531285.76,sz399101
2005-07-15,1169.3037,1175.42,1141.9895,1147.2163,425293064.75,490861.96,sz399101
2005-07-18,1145.5474,1157.1054,1137.6854,1153.565,312917070.67,363055.7,sz399101
2005-07-19,1152.7105,1163.8086,1146.631,1162.6275,311413822.09,349675.87,sz399101
2005-07-20,1162.9366,1184.3289,1159.1164,1177.7578,363367422.05,382907.2,sz399101
2005-07-21,1176.4578,1180.0028,1154.1101,1162.6355,309234722.5,350334.55,sz399101
2005-07-22,1165.8135,1183.7029,1144.1983,1170.5668,664563450.67,798908.99,sz399101
2005-07-25,1165.8097,1165.8097,1143.9071,1144.8898,490418069.18,596950.07,sz399101
2005-07-26,1139.6657,1163.9159,1139.1483,1154.3342,473565554.14,578930.85,sz399101
2005-07-27,1151.8335,1181.9224,1147.7267,1181.9224,520166320.8,636682.72,sz399101
2005-07-28,1185.8488,1201.9229,1181.3928,1185.7151,673729826.52,806290.64,sz399101
2005-07-29,1184.6058,1187.9716,1176.1833,1183.2352,338437639.25,390436.11,sz399101
2005-08-01,1177.2526,1203.4762,1177.2526,1203.4762,526732947.27,624540.64,sz399101
2005-08-02,1207.8463,1208.9544,1183.8588,1198.5946,582306153.65,702984.18,sz399101
2005-08-03,1199.1914,1217.1844,1197.4274,1203.8973,608312839.25,730441.34,sz399101
2005-08-04,1198.2399,1226.9384,1192.1433,1208.8356,643304994.13,717359.98,sz399101
2005-08-05,1193.9555,1261.8238,1193.9555,1258.5808,1219524977.36,1399731.89,sz399101
2005-08-08,1284.7266,1310.6187,1268.7478,1274.8046,1562476535.42,1770161.31,sz399101
2005-08-09,1267.3285,1293.0752,1257.06,1290.6826,1054010683.01,1191645.48,sz399101
